contig	start	end	gene_name
Chr_01	13982	16715	MgIM767.01G000100
Chr_01	27185	30350	MgIM767.01G000200
Chr_01	47990	55756	MgIM767.01G000300
Chr_01	55931	62851	MgIM767.01G000400
Chr_01	63250	68132	MgIM767.01G000500
Chr_01	67929	68795	MgIM767.01G000600
Chr_01	69084	71965	MgIM767.01G000700
Chr_01	72773	87096	MgIM767.01G000800
Chr_01	88124	91368	MgIM767.01G000900
Chr_01	91392	92219	MgIM767.01G001000
Chr_01	92767	99259	MgIM767.01G001100
Chr_01	99422	101848	MgIM767.01G001200
Chr_01	102073	103984	MgIM767.01G001300
Chr_01	104273	107643	MgIM767.01G001400
Chr_01	107582	109419	MgIM767.01G001500
Chr_01	110929	114460	MgIM767.01G001600
Chr_01	114642	117982	MgIM767.01G001700
Chr_01	118121	120490	MgIM767.01G001800
Chr_01	120467	122968	MgIM767.01G001900
Chr_01	123272	127804	MgIM767.01G002000
Chr_01	128753	131581	MgIM767.01G002100
Chr_01	131521	134627	MgIM767.01G002200
Chr_01	134811	138404	MgIM767.01G002300
Chr_01	138585	140499	MgIM767.01G002400
Chr_01	140727	144209	MgIM767.01G002500
Chr_01	144530	147851	MgIM767.01G002600
Chr_01	148169	150918	MgIM767.01G002700
Chr_01	151216	154778	MgIM767.01G002800
Chr_01	154713	157642	MgIM767.01G002900
Chr_01	157892	166132	MgIM767.01G003000
Chr_01	173250	175894	MgIM767.01G003100
Chr_01	176816	177596	MgIM767.01G003200
Chr_01	178093	184262	MgIM767.01G003300
Chr_01	184521	188081	MgIM767.01G003400
Chr_01	187861	191139	MgIM767.01G003500
Chr_01	192438	193401	MgIM767.01G003600
Chr_01	193711	196670	MgIM767.01G003700
Chr_01	197381	200431	MgIM767.01G003800
Chr_01	200713	205045	MgIM767.01G003900
Chr_01	205299	207862	MgIM767.01G004000
Chr_01	207804	209512	MgIM767.01G004100
Chr_01	210696	212681	MgIM767.01G004200
Chr_01	214480	217026	MgIM767.01G004300
Chr_01	216635	220040	MgIM767.01G004400
Chr_01	220596	223278	MgIM767.01G004500
Chr_01	230067	233552	MgIM767.01G004600
Chr_01	233589	237563	MgIM767.01G004700
Chr_01	239371	241656	MgIM767.01G004800
Chr_01	242541	242863	MgIM767.01G004900
Chr_01	243710	248899	MgIM767.01G005000
Chr_01	249488	250865	MgIM767.01G005100
Chr_01	251129	253965	MgIM767.01G005200
Chr_01	255324	256899	MgIM767.01G005300
Chr_01	258010	258940	MgIM767.01G005400
Chr_01	260353	262851	MgIM767.01G005500
Chr_01	262833	264960	MgIM767.01G005600
Chr_01	264430	266284	MgIM767.01G005700
Chr_01	274000	277863	MgIM767.01G005800
Chr_01	280248	281462	MgIM767.01G005900
Chr_01	281901	282924	MgIM767.01G006000
Chr_01	283052	287259	MgIM767.01G006100
Chr_01	292091	294044	MgIM767.01G006200
Chr_01	294613	299990	MgIM767.01G006300
Chr_01	300805	304430	MgIM767.01G006400
Chr_01	304916	307413	MgIM767.01G006500
Chr_01	316241	317369	MgIM767.01G006600
Chr_01	317741	334464	MgIM767.01G006700
Chr_01	338280	339933	MgIM767.01G006800
Chr_01	342675	344280	MgIM767.01G006900
Chr_01	344366	351135	MgIM767.01G007000
Chr_01	353070	361954	MgIM767.01G007100
Chr_01	362511	364258	MgIM767.01G007200
Chr_01	364283	368705	MgIM767.01G007300
Chr_01	378970	380915	MgIM767.01G007400
Chr_01	381059	383999	MgIM767.01G007500
Chr_01	383478	389576	MgIM767.01G007600
Chr_01	398657	403095	MgIM767.01G007700
Chr_01	407038	409039	MgIM767.01G007800
Chr_01	410353	417815	MgIM767.01G007900
Chr_01	417241	419077	MgIM767.01G008000
Chr_01	419497	423404	MgIM767.01G008100
Chr_01	426941	429652	MgIM767.01G008200
Chr_01	430155	433255	MgIM767.01G008300
Chr_01	435970	439411	MgIM767.01G008400
Chr_01	440375	442475	MgIM767.01G008500
Chr_01	444465	445980	MgIM767.01G008600
Chr_01	450171	452135	MgIM767.01G008700
Chr_01	452467	453858	MgIM767.01G008800
Chr_01	454089	455973	MgIM767.01G008900
Chr_01	457326	458516	MgIM767.01G009000
Chr_01	459257	460819	MgIM767.01G009100
